Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
0,0.000000,-0.17282021,-0.0705702752,9.96662521,-0.378413111,-0.251477063,10.0782423,0.0255663469,0.00852211565,-0.00532632228,0.0240664911,0.0133520933,-0.00452812668
1,0.010009,-0.16976586,-0.0523823388,9.95953274,-0.210761726,0.155676275,9.79802513,0.0181094967,0.0181094967,-0.00319579337,0.0226156991,0.0145899756,-0.00362753449
2,0.020004,-0.164185181,-0.0699539334,9.95738506,-0.107775882,-0.0934057683,9.9297514,0.0223705545,0.0138484379,-0.00426105782,0.0225612745,0.0142866187,-0.00380872888
3,0.029985,-0.157940254,-0.0650970191,9.9573164,-0.158071294,-0.0790356472,10.059082,0.023435818,0.0181094967,-0.00319579337,0.0225570966,0.0160615742,-0.00429685507
4,0.040006,-0.154862463,-0.0648147613,9.9868927,-0.158071294,-0.088615723,10.0183668,0.023435818,0.0149137024,-0.00426105782,0.0230322983,0.0152362622,-0.00406101532
5,0.050007,-0.156013563,-0.0678072721,9.98227882,-0.1460962,-0.0694555715,9.96567631,0.0202400237,0.0191747602,-0.00319579337,0.0221162606,0.0164069515,-0.00429944601
6,0.060010,-0.154924095,-0.0641387105,9.97684574,-0.162861332,-0.0694555715,9.97046661,0.0223705545,0.0170442313,-0.00426105782,0.0219524372,0.0167166647,-0.0050128391
7,0.070000,-0.155144095,-0.0650929883,9.98224735,-0.131726086,-0.0790356472,9.96807194,0.0213052891,0.0149137024,-0.00213052891,0.0218262095,0.0162683651,-0.00382568152
8,0.079982,-0.164029256,-0.0743764564,9.98120689,-0.1460962,-0.0670605525,9.91538143,0.0223705545,0.0159789659,-0.00532632228,0.0223117918,0.0158282295,-0.00433330284
9,0.090004,-0.160133168,-0.0781751573,9.97870731,-0.1460962,-0.0742456093,10.0207624,0.023435818,0.0159789659,-0.00426105782,0.0229991935,0.0166107304,-0.00491222041
10,0.100004,-0.158478394,-0.0760660693,9.97578716,-0.160466313,-0.105380863,9.99441719,0.0223705545,0.0170442313,-0.00532632228,0.0224269535,0.016168775,-0.00498494133
11,0.110002,-0.151344478,-0.0771979392,9.97497845,-0.172441408,-0.0766406283,9.95849133,0.0255663469,0.0181094967,-0.00319579337,0.0219684411,0.016449187,-0.00429988606
