Index, Time     , (odometrySubsystem).z[0], (odometrySubsystem).z[1], (odometrySubsystem).z[2], (odometrySubsystem).z[3], (odometrySubsystem).z[4], (odometrySubsystem).z[5], (odometrySubsystem).z[6], (odometrySubsystem).z[7]
  205,  2.049987, 0                       , -0.011635039            , 0                       , 0                       , 0.318295687             , 0.0820572302            ,             0.011717909 , 1.54368544
  206,  2.060002, -0.00166214828          , -0.00387834618          , -0.00831074174          , -0.0132971862           , 0.259007305             , -1.30883121             ,             0.0159789659, 1.54905272
  207,  2.070002, -0.149593353            , -0.184498474            , -0.185606569            , -0.147377163            , 0.230029166             , 0.853045344             ,             0.0426105782, 1.55106831
  208,  2.079984, -0.2277143              , -0.159012198            , -0.161228389            , -0.153471693            , 0.479388773             , -2.96788502             ,             0.103330649 , 1.55557394
  209,  2.090006, -0.21607928             , -0.324672997            , -0.322456777            , -0.202228054            , -0.35006234             , -3.39371538             ,             0.351537257 , 1.56362677
  210,  2.099988, -0.321348697            , -0.416645199            , -0.349051118            , -0.307497442            , -0.757542789            , -5.37807512             ,             0.65300709  , 1.57244444
  211,  2.110005, -0.367888838            , -0.479252815            , -0.631062269            , -0.472050101            , -0.614459872            , -5.3452754              ,             1.00880539  , 1.57771826
  212,  2.119986, -0.596157193            , -0.664859354            , -0.672616005            , -0.629954219            , 0.296519816             , -4.13921595             ,             1.32518899  , 1.57704782
  213,  2.130008, -0.722480416            , -0.800047398            , -0.867641509            , -0.823317468            , -1.14271569             , -5.06523466             ,             1.59150505  , 1.58874369
  214,  2.140004, -0.875398099            , -0.956843436            , -0.92415452             , -0.905870736            , 0.0413991734            , -2.5459342              ,             1.88445282  , 1.60398722
  215,  2.150009, -1.00670779             , -1.09036934             , -1.07873428             , -0.92304635             , -0.668247759            , -5.42521334             ,             2.19124889  , 1.62440872
  216,  2.159979, -1.02055907             , -1.22832763             , -1.1258285              , -1.14355814             , 0.476005733             , -2.80213118             ,             2.53106833  , 1.64962339
  217,  2.170003, -1.2266655              , -1.35575891             , -1.30589449             , -1.2399627              , -0.370102763            , -2.77824187             ,             2.85597396  , 1.67732954
  218,  2.179983, -1.42390716             , -1.39398849             , -1.50535214             , -1.43886638             , 1.55273485              , -2.65893102             ,             3.12655115  , 1.70916128
  219,  2.190001, -1.50756848             , -1.63056755             , -1.60286498             , -1.40673149             , 0.163289115             , -5.49106359             ,             3.41736841  , 1.74137354
  220,  2.199982, -1.59455419             , -1.67433727             , -1.74747205             , -1.68154013             , 3.37443757              , -1.12951255             ,             3.72629499  , 1.77770805
  221,  2.210004, -1.82503879             , -1.76021504             , -1.88986278             , -1.62447309             , 8.95356941              , -7.72343397             ,             4.03628683  , 1.81816816
  222,  2.219984, -1.67212141             , -1.87711954             , -1.87379515             , -1.76963401             , 3.28471899              , -3.89067531             ,             4.51246023  , 1.86217403
  223,  2.230003, -1.85883594             , -1.91922724             , -2.04333425             , -1.85883594             , 3.43610168              , -4.51007032             ,             4.72231722  , 1.90838432
  224,  2.240003, -1.89263296             , -2.03613162             , -2.01784801             , -1.79512024             , 0.0119179301            , -11.0203476             ,             5.13777065  , 1.96178722
  225,  2.249983, -1.86216021             , -2.11037445             , -2.07325315             , -2.03502369             , 8.05297756              , -5.6643014              ,             5.41580439  , 2.01576185
  226,  2.260005, -1.92587578             , -2.15469837             , -2.13586068             , -1.81949842             , 2.00409031              , -1.5488416              ,             5.83019257  , 2.07625818
  227,  2.269982, -1.88543022             , -2.20068431             , -2.14971185             , -1.94249725             , 2.94535732              , -1.71985567             ,             6.04750633  , 2.13435793
  228,  2.279985, -1.87988973             , -2.20290065             , -2.23448157             , -1.89374101             , 9.9053669               , 0.399867296             ,             6.44271946  , 2.20175886
  229,  2.289988, -1.80066085             , -2.16744161             , -2.2378056              , -1.77295828             , 5.89774036              , -0.692063868            ,             6.64085865  , 2.26762247
  230,  2.300003, -1.73140454             , -2.16134691             , -2.26107574             , -1.77517438             , 11.7008486              , 3.01928425              ,             6.93487167  , 2.33876133
  231,  2.309985, -1.67212141             , -2.04665875             , -2.20179248             , -1.67821598             , 7.12647343              , 3.255862                ,             7.27682161  , 2.41335058
  232,  2.320004, -1.64331055             , -2.02560472             , -2.16467142             , -1.65383756             , 11.1355553              , 4.99680042              ,             7.45258999  , 2.4918735
  233,  2.329989, -1.61062181             , -1.91424084             , -1.95247018             , -1.66547275             , 5.70141411              , 6.14327478              ,             7.74979877  , 2.57653022
  234,  2.339980, -1.73251259             , -1.87379515             , -1.90038955             , -1.76630962             , 7.50353622              , 4.27296448              ,             7.82969379  , 2.65399504
  235,  2.349984, -1.81839037             , -1.85772789             , -1.88653827             , -1.81118762             , 6.14285135              , 6.57405329              ,             7.99054861  , 2.73692703
  236,  2.360000, -1.92975426             , -1.90648425             , -1.90870035             , -1.86936295             , 5.64089537              , 5.04894686              ,             8.10453224  , 2.8177464
  237,  2.369980, -1.98183477             , -1.92476773             , -1.89595711             , -1.82725513             , 5.12424469              , 9.6199398               ,             8.25260353  , 2.89809036
  238,  2.380010, -1.97851062             , -1.96078086             , -1.98183477             , -1.88764644             , 7.07825089              , 7.04551649              ,             8.41558933  , 2.98159742
  239,  2.389978, -2.01507783             , -2.00011849             , -1.95025396             , -1.83002532             , 3.20975924              , 11.4822655              ,             8.5711174   , 3.06778455
  240,  2.400000, -2.03724003             , -2.00621295             , -1.96188891             , -1.88986278             , 3.34550953              , 9.36914635              ,             8.74369049  , -3.12077236
  241,  2.409982, -2.05829358             , -2.11868501             , -1.92975426             , -1.87157893             , -0.540773988            , 12.7865963              ,             8.84169483  , -3.02796483
  242,  2.420002, -2.09541512             , -2.09042859             , -1.98848367             , -1.92476773             , 5.37692547              , 9.92355824              ,             8.93863392  , -2.9403367
  243,  2.430008, -2.10594225             , -2.12422562             , -1.99568605             , -1.90870035             , -1.1983726              , 11.3958397              ,             9.01426792  , -2.85098314
  244,  2.439988, -2.14749575             , -2.09984732             , -2.07214475             , -1.94582176             , 1.86809087              , 12.6345253              ,             9.16233921  , -2.76095867
  245,  2.450008, -2.13253617             , -2.12422562             , -2.04998302             , -1.9629972              , -4.75779247             , 12.8989191              ,             9.20495033  , -2.67246771
  246,  2.459988, -2.18572497             , -2.14527941             , -2.09209061             , -1.97463214             , -2.00591397             , 11.1336975              ,             9.34982586  , -2.58243942
  247,  2.470009, -2.19181967             , -2.20179248             , -2.08156371             , -1.99901032             , -5.86951065             , 12.4413805              ,             9.35621738  , -2.48781443
  248,  2.479979, -2.21564388             , -2.1824007              , -2.13807678             , -2.01396966             , -4.76224899             , 13.2722006              ,             9.47978878  , -2.39241886
  249,  2.490008, -2.2621839              , -2.17907643             , -2.12200928             , -2.01064539             , -7.78535366             , 10.4709263              ,             9.53944302  , -2.29913187
  250,  2.499989, -2.28988647             , -2.24168396             , -2.12754989             , -2.05386138             , -7.01019859             , 11.6659651              ,             9.65342617  , -2.20546532
  251,  2.510009, -2.27714324             , -2.24500823             , -2.12090111             , -2.04998302             , -9.6137743              , 9.89152718              ,             9.66514397  , -2.11332846
  252,  2.520002, -2.29819703             , -2.3015213              , -2.15913057             , -2.07103682             , -8.61637211             , 10.8687506              ,             9.79404163  , -2.03883457
  253,  2.529983, -2.2727108              , -2.2704947              , -2.17076564             , -2.03280759             , -12.6220217             , 11.1363058              ,             9.80469418  , -1.94373035
  254,  2.540004, -2.29265666             , -2.29265666             , -2.20567083             , -2.09652328             , -11.5873747             , 7.86790037              ,             9.8845892   , -1.84775972
  255,  2.549984, -2.3319943              , -2.23448157             , -2.23448157             , -2.07768536             , -14.1095724             , 9.97263908              ,             9.9495697   , -1.7483387
  256,  2.560002, -2.32368326             , -2.25775146             , -2.2621839              , -2.11037445             , -13.8207703             , 3.95564604              ,            10.0007029   , -1.65150547
  257,  2.569982, -2.35526419             , -2.27714324             , -2.30429149             , -2.12754989             , -17.3373756             , 6.23585749              ,            10.0497046   , -1.55064678
  258,  2.580004, -2.35138583             , -2.24500823             , -2.27825117             , -2.18683314             , -11.804038              , 0.812040687             ,            10.0912504   , -1.44700861
  259,  2.589985, -2.38850713             , -2.3015213              , -2.32479167             , -2.12311745             , -16.6473942             , 0.0922973529            ,            10.181798    , -1.34451675
  260,  2.600002, -2.36911535             , -2.24500823             , -2.3258996              , -2.20677876             , -16.976099              , 1.65366387              ,            10.1935158   , -1.2404952
  261,  2.609983, -2.37354803             , -2.28545403             , -2.3386426              , -2.14195514             , -16.9345932             , -3.53330302             ,            10.2925854   , -1.13704872
  262,  2.620010, -2.41676378             , -2.2566433              , -2.37022352             , -2.18794107             , -15.7591486             , -2.89190841             ,            10.3064337   , -1.03101063
  263,  2.629981, -2.39681792             , -2.3258996              , -2.3608048              , -2.19514394             , -16.9249496             , -6.15943384             ,            10.3554354   , -0.922097206
  264,  2.640000, -2.46995258             , -2.32257533             , -2.42119622             , -2.21453571             , -11.3998451             , -9.15939045             ,            10.387394    , -0.813279629
  265,  2.649980, -2.46662807             , -2.31094003             , -2.41066933             , -2.21231937             , -15.3727322             , -10.795825              ,            10.4268084   , -0.706766129
  266,  2.660008, -2.4649663              , -2.35526419             , -2.45610118             , -2.20068431             , -13.7890987             , -11.3597507             ,            10.480072    , -0.601207256
  267,  2.669989, -2.50818181             , -2.32146716             , -2.46164179             , -2.25442719             , -9.25229359             , -11.9373245             ,            10.5375957   , -0.497856617
  268,  2.679999, -2.50097919             , -2.35138583             , -2.42119622             , -2.21342754             , -10.3753119             , -13.1519289             ,            10.5812721   , -0.389997959
  269,  2.689980, -2.51261425             , -2.36911535             , -2.45333099             , -2.25442719             , -8.27662754             , -13.9320507             ,            10.6441221   , -0.275046349
  270,  2.700007, -2.55305982             , -2.36689901             , -2.43837142             , -2.2311573              , -9.21013737             , -17.417078              ,            10.6931248   , -0.166899681
