Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0.0103365686,0,0,-0.0221570637,0.15008302,0.00241655181,2.80493927,-0.134339035,-0.0704902187,9.81983662,-0.00107804674,-0.00269139092,0.00241655181,2.80490017,-0.000254631042,1
1,0.009986,0,-0.011074895,0,0,0.0368458442,0.043159835,-0.00397503516,2.80493927,-0.0433282889,0.0109404512,9.75756645,0.00105248217,0.000504402502,-0.00290977047,2.80490017,-0.000254631042,1
2,0.020002,0,0.0103365686,0,0,-0.0179866198,0.125780359,0.00241655181,2.80503559,-0.1055988,-0.0633051544,9.80067635,0.00105248217,-0.000560861954,0.00348181627,2.80490017,-0.000254631042,1
3,0.029976,0,-0.012551547,0,0,0.0724454671,0.0433936454,0.00135128724,2.80503559,-0.0433282889,0.0205205306,9.83660221,0.00211774674,-0.00269139092,0.00135128724,2.80490017,-0.000254631042,1
4,0.040004,0,0.0118132206,0,0,-0.0716607273,0.0303853322,-0.000779241615,2.80493927,-0.0241681337,-0.0585151166,9.84618187,0.00105248217,0.00263493136,0.00241655181,2.80490017,-0.000254631042,1
5,0.050084,0,-0.00516828429,0,0,0.0662311465,0.134374037,-0.00184450613,2.80493927,-0.0576984063,-0.0130097447,9.64260483,0.00211774674,-0.00162612647,0.000286022841,2.80490017,-0.000254631042,1
6,0.059979,0,0.00442995783,0,0,0.00835626759,0.0632790029,0.00135128724,2.80503559,-0.0768585652,-0.0800702944,9.80307102,-0.00214331108,0.000504402502,0.00241655181,2.80490017,-0.000254631042,1
7,0.069998,0,-0.00664493674,0,0,0.0718668401,0.157777876,-0.000779241615,2.80503559,-0.172659352,0.0277055893,9.86055183,0.0031830112,-0.000560861954,-0.000779241615,2.80490017,-0.000254631042,1
8,0.079983,0,0.00442995783,0,0,0.0301769786,0.0531061515,0.00135128724,2.80493927,-0.0600934289,0.0109404512,9.87013245,-1.27822468e-05,-0.000560861954,0.00135128724,2.80490017,-0.000254631042,1
9,0.089997,0,-0.00664493674,0,0,0.0585465021,0.0761644691,0.000286022841,2.80493927,-0.0912286863,0.0301006082,9.73601055,0.00105248217,0.0015696669,-0.00290977047,2.80490017,-0.000254631042,1
10,0.099982,0,0.00442995783,0,0,-0.0656786039,0.0764945447,-0.000779241615,2.80503559,-0.0505133495,-0.0872553512,9.82941628,-1.27822468e-05,0.000504402502,-0.00184450613,2.80490017,-0.000254631042,1
11,0.110002,0,-0.00516828429,0,0,0.0811522678,0.0682530031,0.000286022841,2.80493927,-0.0912286863,0.0540508032,9.75277615,-1.27822468e-05,-0.00375665538,0.000286022841,2.80490017,-0.000254631042,1
12,0.119976,0,0.0073832632,0,0,-0.0341360345,0.0578519367,-0.000779241615,2.80493927,-0.0433282889,-0.0513300598,9.78391171,0.00105248217,-0.00269139092,-0.000779241615,2.80490017,-0.000254631042,1
13,0.129998,0,-0.00516828429,0,0,0.0758388638,0.118324272,-0.000779241615,2.80493927,-0.136734053,0.032495629,9.74559116,-1.27822468e-05,-0.000560861954,-0.000779241615,2.80490017,-0.000254631042,1
14,0.139976,0,-0.00221497891,0,0,-0.0384325534,0.125329539,0.00135128724,2.80493927,-0.1055988,-0.0776752755,9.86534214,-1.27822468e-05,0.00263493136,0.00135128724,2.80490017,-0.000254631042,1
15,0.149999,0,-0.0036916316,0,0,0.0584325418,0.11934115,-0.000779241615,2.80493927,-0.131944016,0.0157304909,9.82223129,0.00211774674,-0.000560861954,-0.000779241615,2.80490017,-0.000254631042,1
16,0.159985,0,0.00147665257,0,0,0.00802267157,0.0913091227,0.00241655181,2.80493927,-0.0888336599,-0.0225898232,9.84857655,-1.27822468e-05,0.0015696669,0.00241655181,2.80490017,-0.000254631042,1
17,0.170003,0,-0.0036916316,0,0,0.100140885,0.0717572793,-0.00397503516,2.80493927,-0.100808762,0.0708159432,9.70248032,0.00105248217,0.0015696669,-0.00397503516,2.80490017,-0.000254631042,1
18,0.179978,0,0.00147665257,0,0,-0.0421603732,0.0276733004,-0.000779241615,2.80493927,-0.0121930353,-0.0489350408,9.81504631,-0.00107804674,-0.00162612647,-0.000779241615,2.80490017,-0.000254631042,1
19,0.190002,0,0,0,0,0.0566245168,0.0996742398,-0.00290977047,2.80493927,-0.112783857,0.0205205306,9.77193642,-1.27822468e-05,0.00263493136,-0.00290977047,2.80490017,-0.000254631042,1
20,0.199977,0,-0.00516828429,0,0,-0.00180968281,0.04146358,0.000286022841,2.80493927,-0.0385382511,-0.0154047646,9.86294651,0.00105248217,0.00370019581,0.000286022841,2.80490017,-0.000254631042,1
21,0.209996,0,-0.00221497891,0,0,0.121953309,0.163084343,0.000286022841,2.80493927,-0.194214523,0.0612358637,9.7312212,0.00211774674,-0.00269139092,0.000286022841,2.80490017,-0.000254631042,1
22,0.219983,0,-0.0036916316,0,0,-0.0536900796,0.0672328398,0.00135128724,2.80493927,-0.0457233116,-0.0728852376,9.90126705,0.00211774674,0.000504402502,0.00135128724,2.80490017,-0.000254631042,1
23,0.230006,0,-0.0036916316,0,0,0.100026928,0.114933953,0.000286022841,2.80493927,-0.141524091,0.0564458258,9.80067635,0.00211774674,-0.000560861954,0.000286022841,2.80490017,-0.000254631042,1
24,0.239980,0,0.00147665257,0,0,-0.0337974392,0.0805705711,0.00241655181,2.80493927,-0.0648834705,-0.0585151166,9.87013245,-1.27822468e-05,0.000504402502,0.00241655181,2.80490017,-0.000254631042,1
25,0.249998,0,-0.00221497891,0,0,0.0362804271,0.0560450144,-0.000779241615,2.80493927,-0.0648834705,0.0157304909,9.72403622,-1.27822468e-05,0.000504402502,-0.000779241615,2.80490017,-0.000254631042,1
26,0.259985,0,0,0,0,-0.0250937305,0.0546873473,-0.000779241615,2.80493927,-0.0433282889,-0.0417499803,9.85336685,-0.00107804674,-0.000560861954,-0.000779241615,2.80490017,-0.000254631042,1
27,0.270006,0,-0.00221497891,0,0,0.0735782906,0.11911542,0.00135128724,2.80493927,-0.136734053,0.0301006082,9.72882557,0.00211774674,0.00263493136,0.00135128724,2.80490017,-0.000254631042,1
28,0.279980,0,-0.0036916316,0,0,-0.00689625321,0.0559310503,0.00135128724,2.80493927,-0.0505133495,-0.0249848422,9.89408207,0.00105248217,0.00370019581,0.00135128724,2.80490017,-0.000254631042,1
29,0.290001,0,0.00147665257,0,0,0.0709791183,0.0971879363,0.00135128724,2.80493927,-0.115178876,0.034890648,9.78151608,0.0031830112,0.00263493136,0.00135128724,2.80490017,-0.000254631042,1
30,0.299975,0,0.00147665257,0,0,-0.0500729308,0.05581709,0.00135128724,2.80493927,-0.0361432321,-0.0657001734,9.86534214,0.00105248217,0.00263493136,0.00135128724,2.80490017,-0.000254631042,1
31,0.309998,0,-0.00221497891,0,0,0.115398414,0.129853979,-0.000779241615,2.80493927,-0.160684258,0.0660259053,9.74559116,0.00105248217,-0.00269139092,-0.000779241615,2.80490017,-0.000254631042,1
32,0.319985,0,-0.00221497891,0,0,0.00975748803,0.0526464656,0.00241655181,2.80420685,-0.0529083684,-0.00821970589,9.81025696,-1.27822468e-05,-0.000560861954,0.00241655181,2.80490017,-0.000254631042,1
33,0.329999,0,0.00147665257,0,0,0.0673515201,0.108610176,0.00241655181,2.80503559,-0.124758959,0.0277055893,9.78630638,0.00211774674,-0.000560861954,0.00241655181,2.80490017,-0.000254631042,1
34,0.339985,0,-0.0036916316,0,0,-0.0373006202,0.0488096364,0.00135128724,2.80493927,-0.0337482132,-0.0513300598,9.82941628,0.0031830112,-0.000560861954,0.00135128724,2.80490017,-0.000254631042,1
35,0.350000,0,0.00295330514,0,0,0.0695085973,0.15098922,0.00241655181,2.80493927,-0.165474296,0.0157304909,9.76475143,0.00105248217,-0.000560861954,0.00241655181,2.80490017,-0.000254631042,1
36,0.359975,0,-0.00959824212,0,0,-0.0385447927,0.0162538383,-0.000779241615,2.80503559,-0.00261295633,-0.0417499803,9.83420658,-1.27822468e-05,0.000504402502,-0.000779241615,2.80490017,-0.000254631042,1
37,0.370006,0,0.00590661028,0,0,0.0458723269,0.141498774,0.00135128724,2.80503559,-0.148709148,-0.00342966616,9.83420658,-0.00107804674,0.000504402502,0.00135128724,2.80490017,-0.000254631042,1
38,0.379980,0,-0.00664493674,0,0,-0.0177563652,0.0901765823,0.00135128724,2.80503559,-0.0792535841,-0.0465400182,9.87013245,0.00105248217,0.0015696669,0.00135128724,2.80490017,-0.000254631042,1
