Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,0.0397070572,-0.0839121044,0.00135128724,-0.240000248,-0.0720685273,-0.0585151166,9.75517082,0.00211774674,0.00370019581,0.00241655181,-0.240616798,-0.000254631042,1
1,0.009976,0,0,0,0,0.0344358496,-0.0752250776,0.000286022841,-0.240000248,-0.0648834705,-0.0513300598,9.79349136,0.00211774674,0.000504402502,0.000286022841,-0.240616798,-0.000254631042,1
2,0.019995,0,0,0,0,-0.0440863855,-0.0535466447,-0.000779241615,-0.239903927,-0.0624884479,0.0301006082,9.78151608,0.00211774674,-0.00162612647,-0.000779241615,-0.240616798,-0.000254631042,1
3,0.030000,0,0,0,0,0.0369198583,-0.10541521,0.000286022841,-0.239903927,-0.0936237052,-0.0609101392,9.73601055,-1.27822468e-05,-0.00482191984,0.000286022841,-0.240616798,-0.000254631042,1
4,0.039974,0,0,0,0,0.0449782684,-0.0925991312,-0.00290977047,-0.240000248,-0.0792535841,-0.0657001734,9.7312212,0.00105248217,0.00263493136,-0.00290977047,-0.240616798,-0.000254631042,1
5,0.050002,0,0,0,0,0.0488650687,-0.0565649234,-0.000779241615,-0.240000248,-0.0433282889,-0.0609101392,9.76714611,0.00105248217,-0.000560861954,-0.000779241615,-0.240616798,-0.000254631042,1
6,0.059977,0,0,0,0,-0.0248129293,-0.0755200386,0.00241655181,-0.240000248,-0.0792535841,0.00615041237,9.72164059,-1.27822468e-05,-0.00269139092,0.00241655181,-0.240616798,-0.000254631042,1
7,0.070000,0,0,0,0,-0.0340200998,-0.092992425,0.000286022841,-0.240000248,-0.0984137431,0.0109404512,9.69769096,0.00105248217,-0.00162612647,0.000286022841,-0.240616798,-0.000254631042,1
8,0.079975,0,0,0,0,0.00505726365,-0.124746539,0.000286022841,-0.240000248,-0.119968921,-0.0345649198,9.80786133,0.00211774674,-0.000560861954,0.000286022841,-0.240616798,-0.000254631042,1
9,0.089994,0,0,0,0,0.0113195963,-0.0991564319,0.00135128724,-0.240000248,-0.0936237052,-0.0345649198,9.7791214,0.00105248217,0.00263493136,0.00135128724,-0.240616798,-0.000254631042,1
10,0.099981,0,0,0,0,0.000165862933,-0.0742339343,-0.00184450613,-0.239903927,-0.0720685273,-0.0177997835,9.80307102,-1.27822468e-05,-0.00162612647,-0.00184450613,-0.240616798,-0.000254631042,1
11,0.109994,0,0,0,0,0.0194373261,-0.0962115899,-0.000779241615,-0.240000248,-0.0888336599,-0.0417499803,9.74319553,-1.27822468e-05,-0.00269139092,-0.000779241615,-0.240616798,-0.000254631042,1
12,0.119980,0,0,0,0,0.0478739478,-0.0908420607,-0.00184450613,-0.240000248,-0.0768585652,-0.0680951998,9.77193642,0.00105248217,0.0015696669,-0.00184450613,-0.240616798,-0.000254631042,1
13,0.130004,0,0,0,0,0.0340631939,-0.117050633,0.000286022841,-0.240000248,-0.1055988,-0.0609101392,9.79828167,0.00105248217,0.000504402502,0.000286022841,-0.240616798,-0.000254631042,1
14,0.140054,0,0,0,0,0.0114293778,-0.118904918,-0.000779241615,-0.239903927,-0.112783857,-0.0393549614,9.68092537,-1.27822468e-05,-0.000560861954,-0.000779241615,-0.240616798,-0.000254631042,1
15,0.149982,0,0,0,0,0.0222346783,-0.0747049302,0.000286022841,-0.240000248,-0.0672784895,-0.0393549614,9.76954079,-0.00214331108,0.000504402502,0.000286022841,-0.240616798,-0.000254631042,1
16,0.159978,0,0,0,0,0.0357711017,-0.11007151,0.000286022841,-0.240000248,-0.0984137431,-0.0609101392,9.74319553,-0.00107804674,0.00476546027,0.000286022841,-0.240616798,-0.000254631042,1
17,0.170000,0,0,0,0,0.0656698272,-0.0483488739,-0.000779241615,-0.240000248,-0.0313531905,-0.0752802566,9.81983662,0.00105248217,-0.000560861954,-0.000779241615,-0.240616798,-0.000254631042,1
18,0.180001,0,0,0,0,0.00677652005,-0.11776676,-0.00290977047,-0.239903927,-0.112783857,-0.0345649198,9.72643089,-0.00107804674,0.000504402502,-0.00290977047,-0.240616798,-0.000254631042,1
19,0.189974,0,0,0,0,0.0147436233,-0.0851967707,0.000286022841,-0.239903927,-0.0792535841,-0.0345649198,9.68092537,0.00105248217,-0.000560861954,0.000286022841,-0.240616798,-0.000254631042,1
20,0.200000,0,0,0,0,0.0542837679,-0.0948763415,0.000286022841,-0.240000248,-0.0792535841,-0.0752802566,9.76475143,0.00105248217,-0.000560861954,0.000286022841,-0.240616798,-0.000254631042,1
21,0.209974,0,0,0,0,-0.0125625981,-0.0859149769,-0.000779241615,-0.240000248,-0.086438641,-0.00821970589,9.80307102,0.00105248217,0.00263493136,-0.000779241615,-0.240616798,-0.000254631042,1
22,0.219999,0,0,0,0,-0.0212987885,-0.0813113898,-0.000779241615,-0.240000248,-0.084043622,0.00136037311,9.72403622,0.00211774674,0.000504402502,-0.000779241615,-0.240616798,-0.000254631042,1
23,0.229975,0,0,0,0,-0.00135255058,-0.120712258,0.000286022841,-0.240000248,-0.117573902,-0.027379863,9.7312212,-1.27822468e-05,-0.000560861954,0.000286022841,-0.240616798,-0.000254631042,1
24,0.239997,0,0,0,0,0.0153538827,-0.0927466154,-0.000779241615,-0.240000248,-0.086438641,-0.0369599424,9.7312212,-0.00107804674,-0.00162612647,-0.000779241615,-0.240616798,-0.000254631042,1
25,0.249974,0,0,0,0,-0.00899929646,-0.101581126,0.00135128724,-0.240000248,-0.100808762,-0.0154047646,9.79109669,0.00105248217,0.0015696669,0.00135128724,-0.240616798,-0.000254631042,1
26,0.259981,0,0,0,0,0.0078054592,-0.0933650732,0.00135128724,-0.240000248,-0.0888336599,-0.0297748819,9.70727062,0.00105248217,0.0015696669,0.00135128724,-0.240616798,-0.000254631042,1
27,0.269977,0,0,0,0,0.0202524383,-0.143259197,0.000286022841,-0.240000248,-0.134339035,-0.0537250787,9.73840618,0.00211774674,0.000504402502,0.000286022841,-0.240616798,-0.000254631042,1
28,0.279973,0,0,0,0,0.00599922566,-0.0805946067,-0.000779241615,-0.240000248,-0.0768585652,-0.0249848422,9.81265163,-0.00214331108,0.000504402502,-0.000779241615,-0.240616798,-0.000254631042,1
29,0.289982,0,0,0,0,0.0217730198,-0.0967787951,0.000286022841,-0.239903927,-0.0888336599,-0.0441449992,9.78151608,-1.27822468e-05,-0.00162612647,0.000286022841,-0.240616798,-0.000254631042,1
30,0.299979,0,0,0,0,-0.0304964446,-0.0987867117,-0.00184450613,-0.239903927,-0.103203781,0.00615041237,9.74559116,0.00105248217,-0.00269139092,-0.00184450613,-0.240616798,-0.000254631042,1
