Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,0.0528853461,-0.111763664,0.00135128724,-0.141273022,-0.084043622,-0.0752802566,9.83660221,-1.27822468e-05,0.0015696669,0.000286022841,-0.141027793,-0.000254631042,1
1,0.010004,0,0,0,0,0.0437273681,-0.0911082476,0.00135128724,-0.141273022,-0.084043622,-0.0561200976,9.8318119,-0.00107804674,0.000504402502,0.00135128724,-0.141032353,-0.000254631042,1
2,0.019977,0,0,0,0,0.0579543263,-0.0931316167,-0.00184450613,-0.141273022,-0.084043622,-0.0704902187,9.85097218,-0.00107804674,-0.000560861954,-0.00290977047,-0.141039014,-0.000254631042,1
3,0.029986,0,0,0,0,0.0565842725,-0.0687455684,-0.00184450613,-0.141273022,-0.0600934289,-0.0657001734,9.80067635,-0.00107804674,-0.00162612647,-0.000779241615,-0.1410615,-0.000254631042,1
4,0.039984,0,0,0,0,0.0751951858,-0.039943859,0.00241655181,-0.141273022,-0.0289581716,-0.0800702944,9.76475143,0.00105248217,0.0015696669,0.00135128724,-0.141053692,-0.000254631042,1
5,0.049982,0,0,0,0,0.0450762771,-0.0816236138,-0.00184450613,-0.141273022,-0.0744635463,-0.0561200976,9.79349136,0.00105248217,0.0015696669,-0.00184450613,-0.141056538,-0.000254631042,1
6,0.059979,0,0,0,0,0.0189935211,-0.0779141188,-0.00184450613,-0.141273022,-0.0744635463,-0.0297748819,9.8318119,0.00105248217,-0.00375665538,-0.00184450613,-0.141070038,-0.000254631042,1
7,0.069986,0,0,0,0,0.0637083203,-0.086692594,-0.00397503516,-0.141273022,-0.0768585652,-0.0752802566,9.77193642,-0.00107804674,0.000504402502,-0.00397503516,-0.141078189,-0.000254631042,1
8,0.079984,0,0,0,0,0.0270658359,0.0128643969,-0.000779241615,-0.141273022,0.0165472012,-0.0249848422,9.83420658,0.00105248217,-0.000560861954,-0.000779241615,-0.141097024,-0.000254631042,1
9,0.089981,0,0,0,0,0.0308598857,-0.0965356007,0.00135128724,-0.141273022,-0.0912286863,-0.0441449992,9.71685123,0.00105248217,0.0015696669,0.00135128724,-0.141092613,-0.000254631042,1
10,0.099978,0,0,0,0,0.0389744788,-0.0734984577,-0.000779241615,-0.141273022,-0.0672784895,-0.0489350408,9.77433109,-0.00107804674,-0.00162612647,-0.000779241615,-0.141101211,-0.000254631042,1
11,0.109997,0,0,0,0,0.0511694625,-0.0897536725,0.00135128724,-0.141368866,-0.0816486031,-0.0633051544,9.84139156,-1.27822468e-05,-0.00162612647,0.00135128724,-0.141085431,-0.000254631042,1
12,0.119983,0,0,0,0,0.0406547077,-0.0616465509,-0.00184450613,-0.141368866,-0.0553033873,-0.0489350408,9.78151608,-1.27822468e-05,0.0015696669,-0.00184450613,-0.14109689,-0.000254631042,1
13,0.130001,0,0,0,0,0.0457718708,-0.110751979,-0.000779241615,-0.141273022,-0.103203781,-0.0609101392,9.79349136,0.00105248217,0.000504402502,-0.000779241615,-0.141114235,-0.000254631042,1
14,0.139977,0,0,0,0,0.0718440488,-0.0975261331,0.000286022841,-0.141273022,-0.086438641,-0.0848603323,9.75277615,-0.00107804674,-0.00162612647,0.000286022841,-0.141114816,-0.000254631042,1
15,0.149999,0,0,0,0,0.0362678021,-0.0924711972,0.00241655181,-0.141368866,-0.086438641,-0.0489350408,9.75038147,0.00211774674,0.000504402502,0.00241655181,-0.141108841,-0.000254631042,1
16,0.159984,0,0,0,0,0.0349090323,-0.0850203708,0.000286022841,-0.141368866,-0.0792535841,-0.0465400182,9.83420658,0.00105248217,0.00263493136,0.000286022841,-0.141108751,-0.000254631042,1
17,0.170000,0,0,0,0,0.0223763622,-0.0711378679,0.000286022841,-0.141273022,-0.0672784895,-0.0321699008,9.81504631,-0.00107804674,0.0015696669,0.000286022841,-0.141110405,-0.000254631042,1
18,0.180007,0,0,0,0,0.00985667948,-0.0911293849,-0.000779241615,-0.141273022,-0.0888336599,-0.0225898232,9.89887238,-1.27822468e-05,0.000504402502,-0.000779241615,-0.141112447,-0.000254631042,1
19,0.189982,0,0,0,0,0.0626876503,-0.0938120708,-0.000779241615,-0.141368866,-0.084043622,-0.0752802566,9.85097218,-0.00107804674,0.000504402502,-0.000779241615,-0.141116798,-0.000254631042,1
20,0.200002,0,0,0,0,0.0183111448,-0.0826581866,-0.000779241615,-0.141368866,-0.0792535841,-0.0297748819,9.78391171,-0.00107804674,-0.00269139092,-0.000779241615,-0.14110674,-0.000254631042,1
