Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,-0.0101624932,0.145329028,0.00135128724,2.97186232,-0.141524091,-0.0345649198,9.85336685,-1.27822468e-05,0.000504402502,0.00135128724,2.9726553,-0.000254631042,1
1,0.009974,0,0,0,0,-0.038085185,0.152544335,0.000286022841,2.97186232,-0.14391911,-0.0633051544,9.75517082,-0.00107804674,0.0015696669,0.000286022841,2.9726553,-0.000254631042,1
2,0.020002,0,0,0,0,-0.00786863547,0.130356297,0.00454708049,2.97186232,-0.127153978,-0.0297748819,9.83660221,0.00105248217,0.00263493136,0.00454708049,2.9726553,-0.000254631042,1
3,0.029977,0,0,0,0,-0.0274958424,0.143439725,0.00454708049,2.97186232,-0.136734053,-0.0513300598,9.81983662,-0.00107804674,0.00263493136,0.00454708049,2.9726553,-0.000254631042,1
4,0.040000,0,0,0,0,-0.0324269161,0.100541189,0.000286022841,2.97195816,-0.0936237052,-0.0489350408,9.83660221,0.00105248217,0.00370019581,0.000286022841,2.9726553,-0.000254631042,1
5,0.049984,0,0,0,0,0.0193784274,0.147556141,0.00135128724,2.97186232,-0.148709148,-0.00582468603,9.82223129,-0.00214331108,0.00263493136,0.00135128724,2.9726553,-0.000254631042,1
6,0.059996,0,0,0,0,-0.00733058527,0.161853269,0.00348181627,2.97186232,-0.158289239,-0.0345649198,9.78391171,-0.00320857554,-0.00269139092,0.00348181627,2.9726553,-0.000254631042,1
7,0.069981,0,0,0,0,-0.0340396017,0.176150382,-0.000779241615,2.97186232,-0.167869315,-0.0633051544,9.78630638,-1.27822468e-05,0.000504402502,-0.000779241615,2.9726553,-0.000254631042,1
8,0.080003,0,0,0,0,0.0509421416,0.161586285,0.00135128724,2.97186232,-0.167869315,0.0229155496,9.81983662,-0.00107804674,-0.00162612647,0.00135128724,2.9726553,-0.000254631042,1
9,0.089978,0,0,0,0,0.00230475934,0.118891306,0.00241655181,2.97195816,-0.127153978,-0.0417499803,9.79349136,0.00211774674,0.000504402502,0.000286022841,2.9726553,-0.000254631042,1
10,0.099997,0,0,0,0,-0.0475943536,0.139594376,0.00135128724,2.97186232,-0.117573902,-0.0633051544,9.79588604,-0.00107804674,-0.00162612647,0.00241655181,2.9726553,-0.000254631042,1
11,0.109983,0,0,0,0,0.0019783373,0.131098658,0.00135128724,2.97186232,-0.14391911,-0.0321699008,9.91324234,0.00105248217,0.00263493136,0.00241655181,2.9726553,-0.000254631042,1
12,0.119997,0,0,0,0,-0.0368092209,0.0891423076,0.00241655181,2.97195816,-0.148709148,-0.0417499803,9.80786133,-0.00107804674,0.000504402502,0.00241655181,2.9726553,-0.000254631042,1
13,0.129984,0,0,0,0,-0.0156410225,0.155983612,0.00135128724,2.97195816,-0.12236394,-0.0704902187,9.78630638,-1.27822468e-05,0.00370019581,0.000286022841,2.9726553,-0.000254631042,1
14,0.139981,0,0,0,0,-0.0221225768,0.203261822,0.00135128724,2.97195816,-0.196609542,-0.0633051544,9.90366268,-1.27822468e-05,0.000504402502,0.00241655181,2.9726553,-0.000254631042,1
15,0.149978,0,0,0,0,-0.0427396558,0.167921633,0.00348181627,2.97186232,-0.158289239,-0.0704902187,9.87252712,-0.00107804674,0.000504402502,0.00454708049,2.9726553,-0.000254631042,1
16,0.159975,0,0,0,0,0.0101300012,0.107831404,0.00135128724,2.97195816,-0.107993819,-0.00821970589,9.76954079,-0.00107804674,0.000504402502,0.00241655181,2.9726553,-0.000254631042,1
