Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,0.0137018906,0.149142548,0.000286022841,2.93085027,-0.148709148,-0.0177997835,9.84857655,0.00105248217,-0.000560861954,0.000286022841,2.93258572,-0.000254631042,1
1,0.009987,0,0,0,0,0.0103458175,0.17925097,0.00241655181,2.93085027,-0.17744939,-0.027379863,9.77433109,-1.27822468e-05,-0.000560861954,0.00241655181,2.93258572,-0.000254631042,1
2,0.020010,0,0,0,0,-0.0512127206,0.143427521,0.000286022841,2.93094611,-0.129548997,-0.0800702944,9.81983662,0.00105248217,0.0015696669,0.000286022841,2.93258572,-0.000254631042,1
3,0.029985,0,0,0,0,-0.0414722823,0.178031579,0.00241655181,2.93158269,-0.165474296,-0.0776752755,9.78870106,-1.27822468e-05,0.000504402502,0.00241655181,2.93258572,-0.000254631042,1
4,0.040000,0,0,0,0,-0.025273636,0.150132537,0.000286022841,2.93085027,-0.141524091,-0.0561200976,9.73840618,0.00105248217,-0.00162612647,0.000286022841,2.93258572,-0.000254631042,1
5,0.049986,0,0,0,0,-0.00621139444,0.17054683,0.00135128724,2.93085027,-0.165474296,-0.0417499803,9.74319553,0.00105248217,-0.00162612647,0.00135128724,2.93258572,-0.000254631042,1
6,0.060008,0,0,0,0,0.00683849864,0.128565937,0.00241655181,2.93094611,-0.127153978,-0.0201948043,9.81983662,-1.27822468e-05,0.000504402502,0.00241655181,2.93258572,-0.000254631042,1
7,0.070007,0,0,0,0,-0.0385934487,0.145583242,0.00241655181,2.93158269,-0.134339035,-0.0680951998,9.78630638,0.00105248217,0.000504402502,0.00241655181,2.93258572,-0.000254631042,1
8,0.079981,0,0,0,0,0.0166958869,0.197486207,0.000286022841,2.93085027,-0.196609542,-0.0249848422,9.84857655,0.00211774674,0.000504402502,0.000286022841,2.93258572,-0.000254631042,1
9,0.090009,0,0,0,0,-0.0127685172,0.208682105,0.00135128724,2.93094611,-0.20139958,-0.0561200976,9.77193642,0.00211774674,-0.00162612647,0.00135128724,2.93258572,-0.000254631042,1
