Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,0.0201485809,0.158977225,0.000286022841,2.8589747,-0.158289239,-0.0249848422,9.78630638,0.00105248217,0.000504402502,0.000286022841,2.86144924,-0.000254631042,1
1,0.009973,0,0,0,0,0.00530904206,0.150816694,-0.00184450613,2.8589747,-0.146314129,-0.0369599424,9.76954079,-1.27822468e-05,-0.000560861954,-0.00184450613,2.86144924,-0.000254631042,1
2,0.019998,0,0,0,0,-0.00909996405,0.169959083,0.000286022841,2.85907078,-0.160684258,-0.0561200976,9.76954079,-0.00107804674,0.00263493136,0.000286022841,2.86144924,-0.000254631042,1
3,0.029973,0,0,0,0,0.0206537172,0.126407534,-0.00184450613,2.85907078,-0.127153978,-0.0154047646,9.84857655,0.0031830112,-0.00162612647,-0.00184450613,2.86144924,-0.000254631042,1
4,0.039997,0,0,0,0,-0.00685888948,0.151856199,0.00241655181,2.8589747,-0.14391911,-0.0489350408,9.77672672,-0.00214331108,0.0015696669,0.00241655181,2.86144924,-0.000254631042,1
5,0.049971,0,0,0,0,-0.00403669337,0.195927903,0.00135128724,2.8589747,-0.187029466,-0.0585151166,9.75996113,0.00105248217,-0.000560861954,0.00135128724,2.86144924,-0.000254631042,1
6,0.059994,0,0,0,0,0.0124256974,0.158693135,-0.000779241615,2.85995126,-0.15589422,-0.0321699008,9.79349136,-1.27822468e-05,0.00263493136,-0.000779241615,2.86144924,-0.000254631042,1
7,0.069970,0,0,0,0,-0.0346733332,0.142401367,0.000286022841,2.85995126,-0.127153978,-0.0728852376,9.77193642,0.00211774674,0.000504402502,0.000286022841,2.86144924,-0.000254631042,1
8,0.079998,0,0,0,0,0.00212013139,0.174188361,0.000286022841,2.8589747,-0.167869315,-0.0465400182,9.84857655,-1.27822468e-05,0.000504402502,0.000286022841,2.86144924,-0.000254631042,1
9,0.089999,0,0,0,0,-0.00620583445,0.118022166,0.000286022841,2.85907078,-0.107993819,-0.0513300598,9.81025696,-1.27822468e-05,0.00263493136,0.000286022841,2.86144924,-0.000254631042,1
