Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,-0.0547985435,0.150642976,-0.000779241615,3.00161624,-0.148709148,-0.0537250787,9.8318119,-1.27822468e-05,0.0015696669,0.00135128724,3.00268459,-0.000254631042,1
1,0.009974,0,0,0,0,-0.0089406576,0.132108539,0.000286022841,3.00088382,-0.129548997,-0.027379863,9.78630638,-1.27822468e-05,-0.00162612647,0.000286022841,3.00268459,-0.000254631042,1
2,0.019983,0,0,0,0,0.000153057903,0.162264317,0.00135128724,3.00097966,-0.160684258,-0.0225898232,9.81504631,-0.00107804674,0.0015696669,0.00241655181,3.00268459,-0.000254631042,1
3,0.029979,0,0,0,0,-0.0538286082,0.174693078,0.000286022841,3.00161624,-0.165474296,-0.0776752755,9.84139156,-1.27822468e-05,0.0015696669,0.000286022841,3.00268459,-0.000254631042,1
4,0.039976,0,0,0,0,-0.031718377,0.125622943,0.00135128724,3.00161624,-0.119968921,-0.0489350408,9.77193642,-0.00107804674,0.000504402502,0.00135128724,3.00268459,-0.000254631042,1
5,0.049975,0,0,0,0,0.0157402605,0.169734359,0.00241655181,3.00088382,-0.170264333,-0.00821970589,9.75996113,0.00105248217,-0.000560861954,0.00241655181,3.00268459,-0.000254631042,1
6,0.059983,0,0,0,0,-0.0336741209,0.128350154,0.00454708049,3.00097966,-0.12236394,-0.0513300598,9.74080086,0.00105248217,-0.000560861954,0.00454708049,3.00268459,-0.000254631042,1
7,0.069981,0,0,0,0,-0.00103586528,0.189020112,0.00348181627,3.00171208,-0.187029466,-0.027379863,9.8749218,-0.00214331108,0.000504402502,0.00348181627,3.00268459,-0.000254631042,1
8,0.079978,0,0,0,0,-0.0636816621,0.190593407,0.00135128724,3.00161624,-0.179844409,-0.0896503702,9.82462692,0.00105248217,-0.000560861954,0.00135128724,3.00268459,-0.000254631042,1
9,0.089974,0,0,0,0,-0.0370810814,0.155445889,0.000286022841,3.00088382,-0.148709148,-0.0585151166,9.84139156,0.00105248217,-0.000560861954,0.000286022841,3.00268459,-0.000254631042,1
10,0.110004,0,0,0,0,0.00410961313,0.156853274,0.00135128724,3.00171208,-0.15589422,-0.0177997835,9.8270216,-0.00214331108,-0.000560861954,0.00135128724,3.00268459,-0.000254631042,1
11,0.119978,0,0,0,0,-0.0270402413,0.158825263,0.000286022841,3.00161624,-0.153499186,-0.0489350408,9.82941628,-1.27822468e-05,-0.00269139092,0.000286022841,3.00268459,-0.000254631042,1
12,0.129996,0,0,0,0,0.0241323858,0.144359127,-0.000779241615,3.00161624,-0.146314129,0.00375539274,9.73601055,-1.27822468e-05,-0.000560861954,-0.000779241615,3.00268459,-0.000254631042,1
13,0.139983,0,0,0,0,-0.0208102241,0.133785978,0.000286022841,3.00097966,-0.129548997,-0.0393549614,9.78870106,-1.27822468e-05,0.000504402502,0.000286022841,3.00268459,-0.000254631042,1
14,0.149999,0,0,0,0,-0.0268521477,0.0911011174,0.00241655181,3.00097966,-0.086438641,-0.0393549614,9.78870106,-1.27822468e-05,-0.000560861954,0.00241655181,3.00268459,-0.000254631042,1
15,0.159973,0,0,0,0,-0.0158310272,0.135474488,0.00348181627,3.00171208,-0.131944016,-0.0345649198,9.80067635,-1.27822468e-05,0.000504402502,0.00348181627,3.00268459,-0.000254631042,1
16,0.169995,0,0,0,0,-0.0250027962,0.156119511,0.00454708049,3.00161624,-0.151104167,-0.0465400182,9.78630638,-0.00107804674,0.00370019581,0.00454708049,3.00268459,-0.000254631042,1
17,0.179981,0,0,0,0,-0.0232685879,0.201862976,0.00135128724,3.00097966,-0.196609542,-0.0513300598,9.74559116,-0.00107804674,-0.00162612647,0.00135128724,3.00268459,-0.000254631042,1
18,0.190000,0,0,0,0,0.0188101884,0.14027229,0.00135128724,3.00097966,-0.141524091,-0.00103464653,9.78870106,0.00211774674,-0.000560861954,0.00135128724,3.00268459,-0.000254631042,1
19,0.199976,0,0,0,0,-0.0453606211,0.166237339,0.000286022841,3.00171208,-0.158289239,-0.0680951998,9.77672672,0.00105248217,0.000504402502,0.000286022841,3.00268459,-0.000254631042,1
20,0.209998,0,0,0,0,-0.0245726779,0.175444484,0.00241655181,3.00088382,-0.170264333,-0.0489350408,9.77433109,-1.27822468e-05,0.000504402502,0.00241655181,3.00268459,-0.000254631042,1
21,0.219973,0,0,0,0,-0.0496894456,0.203183874,0.000286022841,3.00097966,-0.194214523,-0.0776752755,9.71206093,-1.27822468e-05,0.0015696669,0.000286022841,3.00268459,-0.000254631042,1
22,0.229994,0,0,0,0,-0.0221528728,0.124300465,0.000286022841,3.00097966,-0.119968921,-0.0393549614,9.8318119,-1.27822468e-05,0.0015696669,0.000286022841,3.00268459,-0.000254631042,1
23,0.239999,0,0,0,0,-0.0269391295,0.158842444,0.00135128724,3.00097966,-0.153499186,-0.0489350408,9.78391171,0.00211774674,-0.000560861954,0.00135128724,3.00268459,-0.000254631042,1
24,0.249973,0,0,0,0,-0.0494195707,0.171653181,0.00135128724,3.00161624,-0.163079277,-0.0728852376,9.74080086,0.00211774674,0.000504402502,0.00135128724,3.00268459,-0.000254631042,1
25,0.259998,0,0,0,0,-0.0164107196,0.147680178,0.00241655181,3.00088382,-0.14391911,-0.0369599424,9.74798584,-1.27822468e-05,0.0015696669,0.00241655181,3.00268459,-0.000254631042,1
26,0.269973,0,0,0,0,-0.0452388562,0.166270509,0.000286022841,3.00097966,-0.158289239,-0.0680951998,9.74559116,-0.00107804674,-0.00162612647,0.000286022841,3.00268459,-0.000254631042,1
27,0.279996,0,0,0,0,-0.0272747912,0.156471059,0.00348181627,3.00097966,-0.151104167,-0.0489350408,9.76714611,-0.00107804674,-0.00269139092,0.00348181627,3.00268459,-0.000254631042,1
